Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2024-12-24,462.2799987792969,462.7799987792969,435.1400146484375,435.8999938964844,59551800
2024-12-26,454.1300048828125,465.3299865722656,451.0199890136719,465.1600036621094,76366400
2024-12-27,431.6600036621094,450.0,426.5,449.5199890136719,82666800
2024-12-30,417.4100036621094,427.0,415.75,419.3999938964844,64941000
2024-12-31,403.8399963378906,427.92999267578125,402.5400085449219,423.7900085449219,76825100
2025-01-02,379.2799987792969,392.7300109863281,373.0400085449219,390.1000061035156,109710700
2025-01-03,410.44000244140625,411.8800048828125,379.45001220703125,381.4800109863281,95423300
2025-01-06,411.04998779296875,426.42999267578125,401.70001220703125,423.20001220703125,85516500
2025-01-07,394.3599853515625,414.3299865722656,390.0,405.8299865722656,75699500
2025-01-08,394.94000244140625,402.5,387.3999938964844,392.95001220703125,73038800
2025-01-10,394.739990234375,399.2799987792969,377.2900085449219,391.3999938964844,62287300
2025-01-13,403.30999755859375,403.7900085449219,380.07000732421875,383.2099914550781,67580500
2025-01-14,396.3599853515625,422.6400146484375,394.5400085449219,414.3399963378906,84565000
2025-01-15,428.2200012207031,429.79998779296875,405.6600036621094,409.8999938964844,81375500
2025-01-16,413.82000732421875,424.0,409.1300048828125,423.489990234375,68335200
2025-01-17,426.5,439.739990234375,419.75,421.5,94991400
2025-01-21,424.07000732421875,433.20001220703125,406.30999755859375,432.6400146484375,87320900
2025-01-22,415.1099853515625,428.0,414.5899963378906,416.80999755859375,60963300
2025-01-23,412.3800048828125,420.7300109863281,408.95001220703125,416.05999755859375,50554400
